protein,TM_IF,TM_OF,max_tm,pc1,pc2,pc3,type
FZD7,0.929,0.9408,0.9408,3.153,3.098,-0.252,Model
FZD7,0.9203,0.9258,0.9258,1.293,3.863,1.701,Model
FZD7,0.9129,0.9275,0.9275,4.043,3.451,0.676,Model
FZD7,0.9191,0.928,0.928,0.175,3.558,1.159,Model
FZD7,0.9273,0.9133,0.9273,-10.21,5.2,0.899,Model
FZD7,0.9242,0.9302,0.9302,-0.533,3.221,0.169,Model
FZD7,0.9192,0.922,0.922,0.643,4.789,-1.034,Model
FZD7,0.9236,0.933,0.933,2.095,3.907,1.355,Model
FZD7,0.9324,0.9241,0.9324,-3.134,1.845,1.162,Model
FZD7,0.9355,0.9157,0.9355,-12.007,2.266,0.208,Model
FZD7,0.9358,0.9202,0.9358,-10.531,2.127,-1.092,Model
FZD7,0.9399,0.9205,0.9399,-11.543,1.675,0.385,Model
FZD7,0.9413,0.9083,0.9413,-12.39,1.551,1.66,Model
FZD7,0.9443,0.92,0.9443,-11.71,-0.507,-0.535,Model
FZD7,0.9417,0.925,0.9417,-10.862,4.404,-1.573,Model
FZD7,0.9216,0.9345,0.9345,1.936,5.235,1.409,Model
FZD7,0.9003,0.924,0.924,2.844,5.944,-0.208,Model
FZD7,0.9039,0.9114,0.9114,2.651,5.479,0.782,Model
FZD7,0.9239,0.9247,0.9247,0.209,3.386,1.776,Model
FZD7,0.942,0.9084,0.942,-10.953,2.108,-0.51,Model
FZD7,0.9268,0.9382,0.9382,1.828,3.618,2.412,Model
FZD7,0.951,0.9245,0.951,-9.849,0.902,-0.825,Model
FZD7,0.9543,0.9194,0.9543,-11,-0.85,0.346,Model
FZD7,0.9191,0.9317,0.9317,4.039,1.077,0.54,Model
FZD7,0.9323,0.94,0.94,2.384,1.815,1.571,Model
FZD7,0.9419,0.9169,0.9419,-9.774,1.032,0.67,Model
FZD7,0.9221,0.9284,0.9284,2.743,3.241,-0.19,Model
FZD7,0.9551,0.9267,0.9551,-9.832,-0.797,-0.408,Model
FZD7,0.9335,0.9407,0.9407,3.01,1.341,1.067,Model
FZD7,0.9213,0.9359,0.9359,4.118,4.414,-0.57,Model
FZD7,0.9332,0.9407,0.9407,2.429,1.079,1.653,Model
FZD7,0.9543,0.9172,0.9543,-12.508,-1.702,-0.966,Model
FZD7,0.947,0.9122,0.947,-11.739,-0.424,-0.555,Model
FZD7,0.924,0.93,0.93,1.961,0.679,1.634,Model
FZD7,0.9546,0.9292,0.9546,-10.503,0.984,-0.528,Model
FZD7,0.9316,0.9369,0.9369,4.026,3.306,0.147,Model
FZD7,0.9531,0.9259,0.9531,-11.573,0.343,-0.501,Model
FZD7,0.9532,0.9236,0.9532,-10.722,-0.934,1.509,Model
FZD7,0.9357,0.9394,0.9394,2.687,3.134,2.077,Model
FZD7,0.9563,0.925,0.9563,-10.783,-1.163,1.421,Model
FZD7,0.9552,0.9242,0.9552,-10.608,-0.619,-0.359,Model
FZD7,0.9301,0.9313,0.9313,0.687,0.418,1.073,Model
FZD7,0.9266,0.9311,0.9311,0.568,0.957,0.372,Model
FZD7,0.9505,0.9227,0.9505,-11.647,-1.042,0.768,Model
FZD7,0.9303,0.9388,0.9388,2.576,2.937,0.305,Model
FZD7,0.9383,0.927,0.9383,-7.994,1.81,-2.203,Model
FZD7,0.9299,0.937,0.937,1.226,0.123,-0.03,Model
FZD7,0.9278,0.9298,0.9298,1.733,2.842,2.325,Model
FZD7,0.9349,0.9416,0.9416,0.669,0.714,-1.608,Model
FZD7,0.9411,0.9122,0.9411,-11.136,-0.67,1.424,Model
FZD7,0.947,0.9189,0.947,-12.015,-0.762,-1.013,Model
FZD7,0.9535,0.9196,0.9535,-10.774,-0.506,-0.067,Model
FZD7,0.9347,0.9392,0.9392,2.609,1.872,1.33,Model
FZD7,0.9504,0.92,0.9504,-11.286,-0.573,0.434,Model
FZD7,0.9552,0.9244,0.9552,-10.98,0.11,0.654,Model
FZD7,0.9305,0.9367,0.9367,2.193,0.896,0.855,Model
FZD7,0.9312,0.9417,0.9417,1.527,2.393,1.686,Model
FZD7,0.9571,0.9226,0.9571,-11.134,-1.016,1.79,Model
FZD7,0.9305,0.933,0.933,1.033,1.54,0.737,Model
FZD7,0.9434,0.9148,0.9434,-11.496,-0.776,0.14,Model
FZD7,0.9309,0.9343,0.9343,1.36,0.789,1.366,Model
FZD7,0.9216,0.933,0.933,2.219,1.252,1.016,Model
FZD7,0.94,0.9392,0.94,0.828,0.336,2.19,Model
FZD7,0.9326,0.937,0.937,2.283,1.032,0.229,Model
FZD7,0.9301,0.9354,0.9354,1.257,0.795,2.228,Model
FZD7,0.9357,0.94,0.94,1.685,1.341,1.439,Model
FZD7,0.9406,0.9119,0.9406,-12.018,-0.248,0.603,Model
FZD7,0.9401,0.9136,0.9401,-9.729,-0.671,0.088,Model
FZD7,0.9378,0.9327,0.9378,1.511,1.478,2.237,Model
FZD7,0.9311,0.9343,0.9343,0.532,1.441,0.412,Model
FZD7,0.94,0.9385,0.94,-0.45,-0.155,0.709,Model
FZD7,0.934,0.944,0.944,3.279,0.542,0.796,Model
FZD7,0.9345,0.9427,0.9427,2.982,0.568,1.043,Model
FZD7,0.9379,0.9383,0.9383,2.115,-0.146,1.71,Model
FZD7,0.9543,0.9216,0.9543,-10.215,-1.504,0.574,Model
FZD7,0.9279,0.9299,0.9299,1.7,-0.059,-0.505,Model
FZD7,0.9598,0.9256,0.9598,-11.493,-1.811,1.554,Model
FZD7,0.9576,0.9245,0.9576,-10.625,-1.947,2.35,Model
FZD7,0.9566,0.9256,0.9566,-10.712,-1.412,1.392,Model
FZD7,0.9377,0.9402,0.9402,2.742,-0.113,2.253,Model
FZD7,0.9543,0.9225,0.9543,-11.128,-2.275,0.299,Model
FZD7,0.9381,0.9387,0.9387,3.089,-0.342,1.627,Model
FZD7,0.9327,0.9362,0.9362,2.939,0.693,1.274,Model
FZD7,0.9214,0.9369,0.9369,5.54,0.553,-0.771,Model
FZD7,0.935,0.9403,0.9403,2.837,-0.066,1.08,Model
FZD7,0.9341,0.9383,0.9383,2.62,0.456,1.089,Model
FZD7,0.9536,0.9224,0.9536,-11.178,-1.485,0.539,Model
FZD7,0.9318,0.9368,0.9368,3.123,1.213,1.083,Model
FZD7,0.9364,0.9413,0.9413,2.905,0.07,1.201,Model
FZD7,0.936,0.9396,0.9396,2.592,-0.113,1.649,Model
FZD7,0.9317,0.9322,0.9322,2.08,-0.345,1.67,Model
FZD7,0.9363,0.9372,0.9372,1.48,0.268,1.559,Model
FZD7,0.9383,0.9419,0.9419,-0.201,-0.116,0.878,Model
FZD7,0.9332,0.9443,0.9443,2.866,-0.068,1.294,Model
FZD7,0.9551,0.9262,0.9551,-10.811,-1.331,1.278,Model
FZD7,0.9582,0.9244,0.9582,-10.727,-2.367,0.729,Model
FZD7,0.9546,0.9249,0.9546,-11.287,-2.198,0.413,Model
FZD7,0.9336,0.9415,0.9415,2.435,0.343,1.315,Model
FZD7,0.9236,0.9243,0.9243,0.495,-0.491,0.745,Model
FZD7,0.9338,0.941,0.941,1.898,0.507,1.429,Model
FZD7,0.9337,0.935,0.935,1.299,0.005,0.117,Model
FZD7,0.9359,0.9402,0.9402,1.823,-0.618,1.253,Model
FZD7,0.9346,0.9417,0.9417,0.947,-0.606,0.537,Model
FZD7,0.9398,0.9405,0.9405,-1.021,-0.293,0.199,Model
FZD7,0.9367,0.9391,0.9391,2.138,-1.088,0.97,Model
FZD7,0.9338,0.9401,0.9401,2.404,0.107,0.689,Model
FZD7,0.9362,0.941,0.941,1.585,0.184,0.589,Model
FZD7,0.933,0.9379,0.9379,1.364,0.069,0.202,Model
FZD7,0.9352,0.9391,0.9391,1.708,-0.765,1.279,Model
FZD7,0.9273,0.932,0.932,2.325,-0.427,1.418,Model
FZD7,0.9375,0.9411,0.9411,1.481,-0.253,1.397,Model
FZD7,0.9364,0.9389,0.9389,1.447,-0.617,0.192,Model
FZD7,0.9568,0.9263,0.9568,-11.673,-1.953,-0.076,Model
FZD7,0.9362,0.9396,0.9396,1.81,-0.767,1.325,Model
FZD7,0.9362,0.9411,0.9411,1.417,0.157,0.67,Model
FZD7,0.9555,0.9227,0.9555,-11.029,-1.757,0.583,Model
FZD7,0.9327,0.9407,0.9407,1.711,0.164,0.877,Model
FZD7,0.9436,0.9379,0.9436,-1.607,-0.398,0.881,Model
FZD7,0.9523,0.9238,0.9523,-10.688,-1.779,0.067,Model
FZD7,0.9345,0.9395,0.9395,1.655,-0.254,1.307,Model
FZD7,0.9341,0.9387,0.9387,1.538,0.196,-0.099,Model
FZD7,0.9403,0.937,0.9403,0.589,-1.201,1.079,Model
FZD7,0.9348,0.9369,0.9369,2.548,-0.971,1.32,Model
FZD7,0.9347,0.9368,0.9368,2.662,-0.026,1.31,Model
FZD7,0.9358,0.9376,0.9376,2.779,-0.641,0.699,Model
FZD7,0.9373,0.9381,0.9381,2.952,0.257,1.28,Model
FZD7,0.9378,0.9385,0.9385,1.61,-0.847,1.251,Model
FZD7,0.9346,0.9401,0.9401,3.247,-0.789,0.913,Model
FZD7,0.9454,0.9339,0.9454,-3.023,-1.534,1.255,Model
FZD7,0.9352,0.9362,0.9362,3.005,-0.286,1.74,Model
FZD7,0.9559,0.9227,0.9559,-10.762,-2.503,0.734,Model
FZD7,0.9372,0.9386,0.9386,2.59,-0.602,1.641,Model
FZD7,0.9535,0.9282,0.9535,-8.042,-1.754,0.889,Model
FZD7,0.9571,0.9251,0.9571,-10.282,-1.8,0.115,Model
FZD7,0.9367,0.9399,0.9399,3.025,-0.586,1.418,Model
FZD7,0.9326,0.9377,0.9377,3.211,-0.092,1.018,Model
FZD7,0.9334,0.9371,0.9371,3.145,-0.59,1.235,Model
FZD7,0.9555,0.9223,0.9555,-10.26,-1.672,0.941,Model
FZD7,0.9354,0.9388,0.9388,2.354,-0.261,0.71,Model
FZD7,0.9358,0.9357,0.9358,2.046,-0.988,0.819,Model
FZD7,0.9341,0.936,0.936,2.876,-0.518,0.91,Model
FZD7,0.9356,0.9405,0.9405,2.466,-0.86,0.628,Model
FZD7,0.9362,0.9404,0.9404,2.648,-0.782,0.688,Model
FZD7,0.9562,0.9271,0.9562,-10.026,-1.968,-0.324,Model
FZD7,0.934,0.9383,0.9383,2.302,-1.03,0.805,Model
FZD7,0.9564,0.9239,0.9564,-11.445,-2.518,0.702,Model
FZD7,0.9535,0.9312,0.9535,-7.924,-1.908,0.551,Model
FZD7,0.937,0.9404,0.9404,1.827,-0.115,0.786,Model
FZD7,0.9367,0.9393,0.9393,1.569,-1.361,0.889,Model
FZD7,0.9421,0.9377,0.9421,-0.931,-1.221,1.151,Model
FZD7,0.9352,0.9402,0.9402,1.629,-1.103,0.209,Model
FZD7,0.9369,0.9407,0.9407,2.178,-0.465,0.992,Model
FZD7,0.9402,0.9391,0.9402,-1,-1.071,-0.18,Model
FZD7,0.9415,0.9352,0.9415,-1.586,-1.741,0.656,Model
FZD7,0.9419,0.9379,0.9419,-0.206,-0.842,0.961,Model
FZD7,0.9364,0.9388,0.9388,1.608,-1.665,0.828,Model
FZD7,0.9385,0.9394,0.9394,1.008,-1.066,0.39,Model
FZD7,0.9379,0.937,0.9379,0.462,-1.166,-0.802,Model
FZD7,0.934,0.9395,0.9395,2.83,-0.759,1.125,Model
FZD7,0.9367,0.9407,0.9407,2.367,-0.545,1.837,Model
FZD7,0.9365,0.9414,0.9414,2.144,-0.736,0.877,Model
FZD7,0.9363,0.9405,0.9405,2.008,-0.129,0.156,Model
FZD7,0.9362,0.9399,0.9399,1.834,-1.017,1.644,Model
FZD7,0.9367,0.9415,0.9415,2.534,-0.807,0.883,Model
FZD7,0.9421,0.9377,0.9421,-1.466,-1.196,0.163,Model
FZD7,0.9323,0.9398,0.9398,2.809,-1.069,-0.804,Model
FZD7,0.9347,0.9405,0.9405,2.074,-0.809,1.271,Model
FZD7,0.9363,0.9422,0.9422,1.164,-1.147,0.925,Model
FZD7,0.9434,0.9387,0.9434,-1.994,-1.588,0.299,Model
FZD7,0.9389,0.94,0.94,0.358,-0.483,0.141,Model
FZD7,0.9364,0.9388,0.9388,2.121,-1.233,0.979,Model
FZD7,0.9364,0.937,0.937,3.075,-0.517,1.497,Model
FZD7,0.9399,0.9349,0.9399,-0.161,-0.874,0.604,Model
FZD7,0.9356,0.9366,0.9366,2.929,-0.514,0.563,Model
FZD7,0.9405,0.9365,0.9405,-0.07,-1.168,0.318,Model
FZD7,0.9349,0.9372,0.9372,3.652,-0.635,1.296,Model
FZD7,0.9356,0.9367,0.9367,3.323,-1.382,0.705,Model
FZD7,0.9347,0.9356,0.9356,3.273,-0.632,0.754,Model
FZD7,0.9355,0.9381,0.9381,3.175,-0.465,0.57,Model
FZD7,0.9362,0.939,0.939,3.156,-0.668,0.522,Model
FZD7,0.9354,0.9364,0.9364,3.151,-0.513,0.874,Model
FZD7,0.9359,0.9378,0.9378,3.379,-0.496,0.946,Model
FZD7,0.9538,0.9227,0.9538,-9.352,-1.918,0.157,Model
FZD7,0.9349,0.9359,0.9359,2.865,-1.108,0.904,Model
FZD7,0.9398,0.9358,0.9398,0.381,-0.729,0.731,Model
FZD7,0.9341,0.9376,0.9376,3.235,-0.517,-0.134,Model
FZD7,0.9359,0.9371,0.9371,2.828,-0.63,0.018,Model
FZD7,0.9348,0.9361,0.9361,2.958,-0.534,0.378,Model
FZD7,0.9349,0.9355,0.9355,3.546,-0.495,0.496,Model
FZD7,0.9334,0.9374,0.9374,3.71,-0.426,0.824,Model
FZD7,0.9448,0.9309,0.9448,-3.738,-0.914,-0.379,Model
FZD7,0.9346,0.9406,0.9406,2.763,-0.439,-0.186,Model
FZD7,0.9352,0.9393,0.9393,2.431,-0.984,-1.003,Model
FZD7,0.9342,0.94,0.94,2.934,-0.379,-1.085,Model
FZD7,0.937,0.9402,0.9402,2.354,-1.269,-0.114,Model
FZD7,0.9335,0.9392,0.9392,3.406,-0.642,-0.769,Model
FZD7,0.9392,0.9392,0.9392,1.564,-0.434,0.305,Model
FZD7,0.9351,0.9387,0.9387,2.682,-0.551,-0.641,Model
FZD7,0.9355,0.9396,0.9396,2.75,-1.081,-0.434,Model
FZD7,0.9334,0.9373,0.9373,2.63,-1.228,-2.261,Model
FZD7,0.9367,0.9394,0.9394,2.497,-1.321,-0.46,Model
FZD7,0.9346,0.9391,0.9391,2.492,-0.785,-0.717,Model
FZD7,0.9345,0.9394,0.9394,2.722,-0.796,-1.336,Model
FZD7,0.9352,0.9399,0.9399,2.729,-0.361,-1.137,Model
FZD7,0.9343,0.9404,0.9404,2.239,-0.805,-0.689,Model
FZD7,0.9326,0.9387,0.9387,2.788,-0.638,-2.143,Model
FZD7,0.9352,0.9379,0.9379,0.929,-1.064,-1.618,Model
FZD7,0.9361,0.9392,0.9392,1.784,-0.816,-0.956,Model
FZD7,0.9353,0.9397,0.9397,2.915,-0.793,-0.404,Model
FZD7,0.9357,0.9403,0.9403,2.658,-0.803,-0.195,Model
FZD7,0.9356,0.9393,0.9393,2.117,-1.239,-0.319,Model
FZD7,0.9356,0.9393,0.9393,2.208,-0.632,-0.696,Model
FZD7,0.9344,0.9391,0.9391,3.152,-0.59,-1.683,Model
FZD7,0.9361,0.9386,0.9386,2.189,-0.682,-1.235,Model
FZD7,0.9332,0.9379,0.9379,2.924,-0.56,-1.611,Model
FZD7,0.9368,0.939,0.939,2.445,-1.095,-0.495,Model
FZD7,0.937,0.9397,0.9397,2.509,-1.015,-0.297,Model
FZD7,0.9366,0.9393,0.9393,2.261,-0.935,-0.83,Model
FZD7,0.9361,0.9368,0.9368,1.327,-0.627,-1.033,Model
FZD7,0.9408,0.9372,0.9408,-0.568,-1.085,-0.515,Model
FZD7,0.937,0.9381,0.9381,2.292,-1.134,-0.536,Model
FZD7,0.9369,0.9351,0.9369,2.021,-0.463,0.627,Model
FZD7,0.9343,0.9368,0.9368,3.239,-0.517,-0.379,Model
FZD7,0.9353,0.9369,0.9369,3.033,-0.513,0.386,Model
FZD7,0.9367,0.938,0.938,2.608,-0.518,0.448,Model
FZD7,0.936,0.9381,0.9381,2.834,-0.493,0.026,Model
FZD7,0.9354,0.9372,0.9372,3.249,-0.362,0.093,Model
FZD7,0.9344,0.9365,0.9365,3.422,-0.671,0.227,Model
FZD7,0.9347,0.9358,0.9358,3.233,-0.437,0.1,Model
FZD7,0.9362,0.938,0.938,2.76,-0.595,0.657,Model
FZD7,0.9376,0.9381,0.9381,2.656,-0.779,0.455,Model
FZD7,0.9343,0.9356,0.9356,3.264,-0.384,0.222,Model
FZD7,0.9352,0.9359,0.9359,3.112,-0.406,0.412,Model
FZD7,0.9361,0.9366,0.9366,3.123,-0.646,0.499,Model
FZD7,0.9356,0.9353,0.9356,2.876,-0.662,0.778,Model
FZD7,0.9351,0.9374,0.9374,3.162,-0.7,0.566,Model
FZD7,0.9365,0.9368,0.9368,2.888,-0.583,0.759,Model
FZD7,0.9348,0.9357,0.9357,3.012,-0.705,0.289,Model
FZD7,0.9356,0.937,0.937,3.058,-0.424,0.061,Model
FZD7,0.9348,0.9372,0.9372,3.55,-0.54,0.071,Model
FZD7,0.9341,0.9361,0.9361,3.113,-0.365,0.561,Model
FZD7,0.9361,0.9405,0.9405,2.313,-0.613,-1.348,Model
FZD7,0.9345,0.9378,0.9378,2.406,-0.691,-2.01,Model
FZD7,0.9354,0.9401,0.9401,2.841,-0.956,-1.564,Model
FZD7,0.9352,0.9391,0.9391,2.568,-0.255,-1.451,Model
FZD7,0.9365,0.9397,0.9397,2.502,-0.857,-0.565,Model
FZD7,0.936,0.9394,0.9394,2.382,-1.013,-1.392,Model
FZD7,0.9344,0.9386,0.9386,2.998,-0.842,-2.001,Model
FZD7,0.9351,0.9389,0.9389,3.047,-0.712,-1.116,Model
FZD7,0.9349,0.9385,0.9385,2.662,-0.641,-1.608,Model
FZD7,0.9342,0.939,0.939,3.115,-0.592,-1.728,Model
FZD7,0.9344,0.9385,0.9385,2.806,-0.935,-2.391,Model
FZD7,0.9344,0.9394,0.9394,2.979,-0.834,-1.75,Model
FZD7,0.9355,0.9386,0.9386,2.736,-0.907,-1.246,Model
FZD7,0.9354,0.9391,0.9391,2.85,-0.894,-1.363,Model
FZD7,0.9347,0.9392,0.9392,2.733,-0.889,-1.507,Model
FZD7,0.9357,0.9396,0.9396,2.08,-0.743,-1.775,Model
FZD7,0.9347,0.9395,0.9395,2.568,-1.005,-1.238,Model
FZD7,0.935,0.9403,0.9403,2.955,-0.558,-1.383,Model
FZD7,0.9358,0.9386,0.9386,2.573,-0.852,-1.244,Model
FZD7,0.9356,0.9389,0.9389,2.8,-0.954,-1.837,Model
FZD7,0.9337,0.9388,0.9388,2.922,-0.703,-1.805,Model
FZD7,0.935,0.9397,0.9397,2.649,-0.683,-1.097,Model
FZD7,0.9347,0.9409,0.9409,3.247,-0.921,-1.689,Model
FZD7,0.933,0.9391,0.9391,2.806,-0.724,-2.566,Model
FZD7,0.9345,0.9401,0.9401,2.734,-0.648,-1.418,Model
FZD7,0.937,0.9398,0.9398,2.191,-0.966,-1.16,Model
FZD7,0.9364,0.9383,0.9383,2.474,-0.727,-0.954,Model
FZD7,0.936,0.9394,0.9394,2.565,-1.024,-1.106,Model
FZD7,0.9342,0.94,0.94,2.805,-0.849,-2.172,Model
FZD7,0.9334,0.938,0.938,3.036,-0.876,-1.972,Model
FZD7,0.9353,0.9365,0.9365,3.344,-0.703,0.5,Model
FZD7,0.9359,0.9364,0.9364,2.931,-0.68,0.001,Model
FZD7,0.9354,0.9369,0.9369,3.04,-0.74,-0.037,Model
FZD7,0.9353,0.9372,0.9372,3.123,-0.496,0.225,Model
FZD7,0.9352,0.9359,0.9359,3.463,-0.624,-0.078,Model
FZD7,0.9358,0.9367,0.9367,3.148,-0.397,0.172,Model
FZD7,0.9361,0.9381,0.9381,3.141,-0.647,0.183,Model
FZD7,0.9355,0.9366,0.9366,3.012,-0.695,0.332,Model
FZD7,0.9366,0.9376,0.9376,3.088,-0.722,0.593,Model
FZD7,0.9367,0.9371,0.9371,3.002,-0.423,0.328,Model
FZD7,0.9359,0.9367,0.9367,3.245,-0.649,0.072,Model
FZD7,0.9357,0.9368,0.9368,3.031,-0.744,0.239,Model
FZD7,0.935,0.935,0.935,2.977,-0.445,0.25,Model
FZD7,0.936,0.9385,0.9385,3.495,-0.616,0.301,Model
FZD7,0.936,0.9364,0.9364,3.257,-0.759,0.067,Model
FZD7,0.9355,0.9366,0.9366,3.279,-0.477,0.4,Model
FZD7,0.9347,0.9366,0.9366,3.237,-0.574,0.068,Model
FZD7,0.9361,0.9356,0.9361,2.964,-0.565,0.646,Model
FZD7,0.9362,0.936,0.9362,3.249,-0.844,0.789,Model
FZD7,0.9359,0.9368,0.9368,3.152,-0.623,0.498,Model
FZD7,0.9357,0.9388,0.9388,2.901,-0.896,-1.125,Model
FZD7,0.9349,0.9388,0.9388,2.912,-0.759,-2.107,Model
FZD7,0.9351,0.9389,0.9389,2.859,-0.839,-1.442,Model
FZD7,0.936,0.9413,0.9413,2.587,-0.96,-1.395,Model
FZD7,0.934,0.9385,0.9385,3.284,-0.723,-1.361,Model
FZD7,0.9351,0.9397,0.9397,3.119,-0.834,-1.342,Model
FZD7,0.9363,0.9392,0.9392,2.654,-0.759,-1.192,Model
FZD7,0.9368,0.9391,0.9391,2.748,-0.766,-0.932,Model
FZD7,0.9363,0.9391,0.9391,2.658,-1.107,-1.234,Model
FZD7,0.934,0.9389,0.9389,2.969,-0.936,-1.58,Model
FZD7,0.936,0.9387,0.9387,2.649,-0.96,-1.312,Model
FZD7,0.9351,0.9388,0.9388,2.61,-0.819,-1.886,Model
FZD7,0.9363,0.9396,0.9396,2.86,-0.828,-1.544,Model
FZD7,0.9356,0.9383,0.9383,2.723,-1.103,-1.461,Model
FZD7,0.9356,0.9393,0.9393,2.816,-1.088,-1.281,Model
FZD7,0.9351,0.9379,0.9379,2.787,-0.785,-1.328,Model
FZD7,0.9358,0.9389,0.9389,2.59,-1.129,-1.75,Model
FZD7,0.937,0.9381,0.9381,2.434,-0.891,-1.409,Model
FZD7,0.9352,0.9391,0.9391,2.954,-0.961,-1.468,Model
FZD7,0.9349,0.9383,0.9383,3.003,-0.612,-2.01,Model
FZD7,0.9365,0.9424,0.9424,2.658,-0.848,-1.265,Model
FZD7,0.935,0.9387,0.9387,2.731,-0.754,-1.505,Model
FZD7,0.9354,0.9386,0.9386,2.766,-1.247,-1.846,Model
FZD7,0.9358,0.9401,0.9401,2.912,-0.961,-0.956,Model
FZD7,0.9363,0.9422,0.9422,2.575,-0.981,-1.269,Model
FZD7,0.935,0.9395,0.9395,3.067,-0.944,-1.462,Model
FZD7,0.9365,0.9401,0.9401,2.751,-0.911,-1.224,Model
FZD7,0.9345,0.9391,0.9391,3.08,-0.557,-1.546,Model
FZD7,0.9371,0.9391,0.9391,2.47,-0.913,-1.752,Model
FZD7,0.9358,0.9377,0.9377,2.808,-1.057,-1.223,Model
Lat1,0.9175,0.9169,0.9175,7.998,-9.32,7.156,Model
Lat1,0.9423,0.9141,0.9423,-3.283,-1.874,-4.773,Model
Lat1,0.9103,0.9452,0.9452,13.787,-9.538,2.318,Model
Lat1,0.8886,0.9545,0.9545,19.153,6.249,-2.766,Model
Lat1,0.9315,0.9274,0.9315,1.998,-6.789,0.661,Model
Lat1,0.9167,0.8793,0.9167,-3.637,-3.685,6.126,Model
Lat1,0.9073,0.939,0.939,13.567,2.416,7.858,Model
Lat1,0.9044,0.9401,0.9401,12.924,10.274,-2.319,Model
Lat1,0.9014,0.9522,0.9522,17.015,-7.005,2.804,Model
Lat1,0.9255,0.9184,0.9255,2.341,0.106,4.362,Model
Lat1,0.9121,0.905,0.9121,5.297,-16.325,3.412,Model
Lat1,0.8774,0.9539,0.9539,21.552,9.857,-2.464,Model
Lat1,0.9049,0.9344,0.9344,8.26,6.402,-6.407,Model
Lat1,0.9259,0.9214,0.9259,4.196,4.249,3.65,Model
Lat1,0.9039,0.9543,0.9543,17.137,-7.456,1.615,Model
Lat1,0.9166,0.9393,0.9393,10.897,-2.675,3.822,Model
Lat1,0.9075,0.9401,0.9401,12.678,-3.614,-0.314,Model
Lat1,0.9048,0.9522,0.9522,14.645,-3.636,-4.058,Model
Lat1,0.9192,0.9341,0.9341,9.188,2.595,7.224,Model
Lat1,0.8994,0.9503,0.9503,17.952,-1.509,0.566,Model
Lat1,0.8803,0.9422,0.9422,19.309,-6.5,-2.613,Model
Lat1,0.9132,0.9352,0.9352,9.827,0.193,-3.037,Model
Lat1,0.9421,0.9148,0.9421,-3.075,-4.437,4.777,Model
Lat1,0.8508,0.945,0.945,26.131,1.468,-6.789,Model
Lat1,0.9016,0.9404,0.9404,11.983,-0.671,-3.53,Model
Lat1,0.8963,0.9034,0.9034,4.64,1.054,-2.215,Model
Lat1,0.9327,0.8707,0.9327,-12.887,-8.035,-0.235,Model
Lat1,0.8827,0.9171,0.9171,11.369,-7.448,0.774,Model
Lat1,0.8851,0.9239,0.9239,16.778,6.114,0.032,Model
Lat1,0.9182,0.9425,0.9425,9.52,-10.65,0.056,Model
Lat1,0.9272,0.9347,0.9347,6.734,-8.966,0.835,Model
Lat1,0.9315,0.918,0.9315,0.997,-15.725,0.087,Model
Lat1,0.9265,0.9362,0.9362,7.453,-8.135,3.172,Model
Lat1,0.9487,0.8937,0.9487,-10.924,0.567,-3.061,Model
Lat1,0.9107,0.9478,0.9478,13.568,-8.94,-2.586,Model
Lat1,0.8866,0.9606,0.9606,23.011,3.7,-4.374,Model
Lat1,0.8989,0.9569,0.9569,19.464,-4.503,-0.3,Model
Lat1,0.8904,0.958,0.958,20.627,-8.174,-0.11,Model
Lat1,0.8995,0.9509,0.9509,17.686,-8.994,0.565,Model
Lat1,0.8843,0.9574,0.9574,22.52,9.423,-0.874,Model
Lat1,0.9232,0.9328,0.9328,6.754,-9.06,1.711,Model
Lat1,0.9549,0.901,0.9549,-8.865,-0.749,-3.392,Model
Lat1,0.9231,0.8853,0.9231,-3.16,-0.447,11.673,Model
Lat1,0.9611,0.8871,0.9611,-14.106,1.008,-1.163,Model
Lat1,0.9155,0.9451,0.9451,11.546,-5.104,-1.106,Model
Lat1,0.9098,0.9486,0.9486,13.473,4.462,4.924,Model
Lat1,0.9157,0.9433,0.9433,12.376,-7.979,2.379,Model
Lat1,0.8879,0.9628,0.9628,21.48,-5.29,-3.018,Model
Lat1,0.9356,0.895,0.9356,-5.989,-1.437,9.496,Model
Lat1,0.8978,0.9575,0.9575,18.606,3.28,-1.097,Model
Lat1,0.9397,0.9054,0.9397,-2.365,-2.697,10.005,Model
Lat1,0.9009,0.9285,0.9285,12.021,-12.736,2.9,Model
Lat1,0.9297,0.9271,0.9297,4.603,-4.349,4.995,Model
Lat1,0.8902,0.9616,0.9616,22.117,5.955,-0.192,Model
Lat1,0.9129,0.9456,0.9456,14.471,-1.109,5.03,Model
Lat1,0.9302,0.9223,0.9302,4.793,3.242,9.784,Model
Lat1,0.8943,0.9587,0.9587,20.248,8.272,0.491,Model
Lat1,0.9262,0.9292,0.9292,5.165,4.77,4.842,Model
Lat1,0.9236,0.8962,0.9236,-0.642,-1.281,10.831,Model
Lat1,0.9497,0.8914,0.9497,-9.339,0.795,4.774,Model
Lat1,0.9505,0.878,0.9505,-15.792,-6.147,3.529,Model
Lat1,0.9437,0.9145,0.9437,-3.447,0.018,2.281,Model
Lat1,0.9291,0.9271,0.9291,4.164,-11.651,2.131,Model
Lat1,0.9498,0.9027,0.9498,-8.042,-0.896,1.982,Model
Lat1,0.9374,0.9253,0.9374,0.304,-3.662,-2.162,Model
Lat1,0.9543,0.8925,0.9543,-12.15,-1.692,0.134,Model
