protein,tm_IF,tm_OF,nseq
ZnT8,0.8172,0.8499,128
ZnT8,0.8955,0.8164,128
ZnT8,0.8293,0.8663,128
ZnT8,0.8438,0.8532,128
ZnT8,0.8532,0.8461,128
ZnT8,0.8452,0.8506,128
ZnT8,0.8424,0.8515,128
ZnT8,0.8726,0.8335,128
ZnT8,0.9246,0.7706,128
ZnT8,0.8331,0.868,128
ZnT8,0.8369,0.8559,128
ZnT8,0.9286,0.7658,128
ZnT8,0.8495,0.8451,128
ZnT8,0.8411,0.8564,128
ZnT8,0.8655,0.848,128
ZnT8,0.8383,0.8518,128
ZnT8,0.8394,0.8563,128
ZnT8,0.8634,0.8409,128
ZnT8,0.9152,0.7991,128
ZnT8,0.8476,0.8505,128
ZnT8,0.8329,0.8569,128
ZnT8,0.8846,0.8279,128
ZnT8,0.8782,0.8315,128
ZnT8,0.8586,0.8435,128
ZnT8,0.8283,0.8525,128
ZnT8,0.9312,0.751,128
ZnT8,0.9168,0.7935,128
ZnT8,0.8371,0.8469,128
ZnT8,0.8322,0.8529,128
ZnT8,0.8611,0.8421,128
ZnT8,0.8883,0.8244,128
ZnT8,0.835,0.8538,128
ZnT8,0.8683,0.8363,128
ZnT8,0.9381,0.7471,128
ZnT8,0.8509,0.8544,128
ZnT8,0.8467,0.8667,128
ZnT8,0.9015,0.8029,128
ZnT8,0.8793,0.8314,128
ZnT8,0.8548,0.855,128
ZnT8,0.8597,0.8511,128
ZnT8,0.935,0.7438,128
ZnT8,0.8523,0.8577,128
ZnT8,0.854,0.8537,128
ZnT8,0.8519,0.8555,128
ZnT8,0.8579,0.8421,128
ZnT8,0.863,0.8423,128
ZnT8,0.8616,0.8423,128
ZnT8,0.9394,0.7407,128
ZnT8,0.8361,0.8659,128
ZnT8,0.8553,0.8454,128
Lat1,0.8892,0.9658,128
Lat1,0.9527,0.8948,128
Lat1,0.9109,0.9508,128
Lat1,0.8985,0.9607,128
Lat1,0.9084,0.9495,128
Lat1,0.8953,0.9608,128
Lat1,0.935,0.9201,128
Lat1,0.9254,0.9336,128
Lat1,0.8755,0.9709,128
Lat1,0.8766,0.9733,128
Lat1,0.8956,0.9573,128
Lat1,0.939,0.9115,128
Lat1,0.9133,0.9418,128
Lat1,0.9259,0.9323,128
Lat1,0.9029,0.9502,128
Lat1,0.913,0.9567,128
Lat1,0.8856,0.9675,128
Lat1,0.9385,0.9188,128
Lat1,0.9109,0.9409,128
Lat1,0.9305,0.9276,128
Lat1,0.9001,0.9589,128
Lat1,0.8784,0.9722,128
Lat1,0.8668,0.9751,128
Lat1,0.9355,0.9221,128
Lat1,0.9125,0.9512,128
Lat1,0.8902,0.9629,128
Lat1,0.9169,0.9379,128
Lat1,0.8853,0.9704,128
Lat1,0.8737,0.9719,128
Lat1,0.8997,0.9549,128
Lat1,0.9064,0.9533,128
Lat1,0.9516,0.8968,128
Lat1,0.9149,0.9441,128
Lat1,0.8798,0.9677,128
Lat1,0.925,0.94,128
Lat1,0.9276,0.9279,128
Lat1,0.925,0.9387,128
Lat1,0.9496,0.8925,128
Lat1,0.949,0.8981,128
Lat1,0.8813,0.9689,128
Lat1,0.8927,0.9608,128
Lat1,0.914,0.9537,128
Lat1,0.937,0.9276,128
Lat1,0.9464,0.8999,128
Lat1,0.8821,0.968,128
Lat1,0.947,0.9042,128
Lat1,0.9349,0.9271,128
Lat1,0.8952,0.9601,128
Lat1,0.9378,0.9184,128
Lat1,0.958,0.8803,128
MCT1 (with templates),0.9783,0.8047,128
MCT1 (with templates),0.9761,0.7993,128
MCT1 (with templates),0.9756,0.7978,128
MCT1 (with templates),0.973,0.8072,128
MCT1 (with templates),0.9749,0.796,128
MCT1 (with templates),0.9754,0.7901,128
MCT1 (with templates),0.9776,0.8009,128
MCT1 (with templates),0.9758,0.8039,128
MCT1 (with templates),0.9696,0.8109,128
MCT1 (with templates),0.9763,0.8079,128
MCT1 (with templates),0.9737,0.8012,128
MCT1 (with templates),0.9752,0.8047,128
MCT1 (with templates),0.9753,0.8052,128
MCT1 (with templates),0.9783,0.8027,128
MCT1 (with templates),0.9746,0.801,128
MCT1 (with templates),0.9781,0.8011,128
MCT1 (with templates),0.9762,0.802,128
MCT1 (with templates),0.9726,0.8107,128
MCT1 (with templates),0.9766,0.7962,128
MCT1 (with templates),0.9733,0.8055,128
MCT1 (with templates),0.9757,0.7956,128
MCT1 (with templates),0.9765,0.7977,128
MCT1 (with templates),0.9785,0.8082,128
MCT1 (with templates),0.9755,0.8047,128
MCT1 (with templates),0.9773,0.7974,128
MCT1 (with templates),0.9773,0.8085,128
MCT1 (with templates),0.976,0.805,128
MCT1 (with templates),0.9747,0.8052,128
MCT1 (with templates),0.9735,0.8023,128
MCT1 (with templates),0.9727,0.7981,128
MCT1 (with templates),0.977,0.801,128
MCT1 (with templates),0.9732,0.8062,128
MCT1 (with templates),0.9744,0.797,128
MCT1 (with templates),0.9781,0.8057,128
MCT1 (with templates),0.9755,0.7949,128
MCT1 (with templates),0.9766,0.8131,128
MCT1 (with templates),0.9759,0.7943,128
MCT1 (with templates),0.9752,0.798,128
MCT1 (with templates),0.9713,0.81,128
MCT1 (with templates),0.9744,0.7923,128
MCT1 (with templates),0.9778,0.7999,128
MCT1 (with templates),0.9762,0.8016,128
MCT1 (with templates),0.9776,0.8026,128
MCT1 (with templates),0.9773,0.8074,128
MCT1 (with templates),0.9774,0.7969,128
MCT1 (with templates),0.9768,0.8024,128
MCT1 (with templates),0.9783,0.8001,128
MCT1 (with templates),0.9746,0.8045,128
MCT1 (with templates),0.9715,0.8057,128
MCT1 (with templates),0.9764,0.8061,128
ASCT2,0.79,0.7552,256
ASCT2,0.7903,0.7551,256
ASCT2,0.9098,0.6952,256
ASCT2,0.8967,0.6751,256
ASCT2,0.9137,0.6825,256
ASCT2,0.9183,0.6892,256
ASCT2,0.6197,0.9541,256
ASCT2,0.9273,0.6857,256
ASCT2,0.7389,0.808,256
ASCT2,0.8823,0.6861,256
ASCT2,0.9261,0.6864,256
ASCT2,0.8575,0.7115,256
ASCT2,0.881,0.6944,256
ASCT2,0.9086,0.6918,256
ASCT2,0.879,0.6938,256
ASCT2,0.9328,0.6849,256
ASCT2,0.6158,0.9465,256
ASCT2,0.8021,0.7492,256
ASCT2,0.7809,0.7616,256
ASCT2,0.8831,0.6925,256
ASCT2,0.9067,0.6773,256
ASCT2,0.8093,0.7346,256
ASCT2,0.832,0.7286,256
ASCT2,0.9156,0.6818,256
ASCT2,0.6186,0.9535,256
ASCT2,0.8778,0.7033,256
ASCT2,0.9092,0.6808,256
ASCT2,0.918,0.6754,256
ASCT2,0.9182,0.6722,256
ASCT2,0.8893,0.6921,256
ASCT2,0.9121,0.681,256
ASCT2,0.8529,0.7144,256
ASCT2,0.9031,0.6854,256
ASCT2,0.9229,0.6758,256
ASCT2,0.9124,0.6795,256
ASCT2,0.6304,0.9489,256
ASCT2,0.6188,0.9564,256
ASCT2,0.6187,0.9458,256
ASCT2,0.7892,0.7541,256
ASCT2,0.612,0.9405,256
ASCT2,0.9194,0.6753,256
ASCT2,0.8997,0.6877,256
ASCT2,0.9034,0.6824,256
ASCT2,0.8516,0.7149,256
ASCT2,0.8761,0.7001,256
ASCT2,0.9009,0.685,256
ASCT2,0.7072,0.8382,256
ASCT2,0.9122,0.6795,256
ASCT2,0.9146,0.6806,256
ASCT2,0.7983,0.7622,256
MCT1 (without templates),0.9774,0.8,256
MCT1 (without templates),0.979,0.8001,256
MCT1 (without templates),0.977,0.7969,256
MCT1 (without templates),0.9746,0.8045,256
MCT1 (without templates),0.9732,0.7995,256
MCT1 (without templates),0.9776,0.8082,256
MCT1 (without templates),0.9753,0.8048,256
MCT1 (without templates),0.9757,0.7989,256
MCT1 (without templates),0.9741,0.7923,256
MCT1 (without templates),0.9746,0.8111,256
MCT1 (without templates),0.9764,0.7959,256
MCT1 (without templates),0.9792,0.8035,256
MCT1 (without templates),0.9777,0.797,256
MCT1 (without templates),0.9773,0.8038,256
MCT1 (without templates),0.9718,0.7991,256
MCT1 (without templates),0.9737,0.7987,256
MCT1 (without templates),0.9717,0.7948,256
MCT1 (without templates),0.9714,0.8019,256
MCT1 (without templates),0.9733,0.8041,256
MCT1 (without templates),0.9732,0.8027,256
MCT1 (without templates),0.975,0.799,256
MCT1 (without templates),0.9757,0.7991,256
MCT1 (without templates),0.9741,0.8034,256
MCT1 (without templates),0.9774,0.8002,256
MCT1 (without templates),0.9775,0.8042,256
MCT1 (without templates),0.9745,0.8079,256
MCT1 (without templates),0.9783,0.8056,256
MCT1 (without templates),0.9745,0.7995,256
MCT1 (without templates),0.9765,0.7977,256
MCT1 (without templates),0.9748,0.8032,256
MCT1 (without templates),0.9773,0.7987,256
MCT1 (without templates),0.9747,0.8049,256
MCT1 (without templates),0.9758,0.807,256
MCT1 (without templates),0.9761,0.8048,256
MCT1 (without templates),0.9775,0.8024,256
MCT1 (without templates),0.9769,0.804,256
MCT1 (without templates),0.9766,0.8037,256
MCT1 (without templates),0.9759,0.8044,256
MCT1 (without templates),0.9759,0.7941,256
MCT1 (without templates),0.9752,0.8026,256
MCT1 (without templates),0.9755,0.8045,256
MCT1 (without templates),0.9765,0.8083,256
MCT1 (without templates),0.976,0.7945,256
MCT1 (without templates),0.9759,0.7909,256
MCT1 (without templates),0.9758,0.801,256
MCT1 (without templates),0.9759,0.7955,256
MCT1 (without templates),0.9747,0.7986,256
MCT1 (without templates),0.9778,0.8056,256
MCT1 (without templates),0.9723,0.8099,256
MCT1 (without templates),0.975,0.8081,256
STP10,0.8954,0.9342,256
STP10,0.9405,0.893,256
STP10,0.9361,0.9009,256
STP10,0.8996,0.9307,256
STP10,0.9359,0.8994,256
STP10,0.89,0.9385,256
STP10,0.8986,0.9304,256
STP10,0.9382,0.8966,256
STP10,0.9476,0.8875,256
STP10,0.8869,0.9387,256
STP10,0.9165,0.9188,256
STP10,0.938,0.8973,256
STP10,0.8829,0.9407,256
STP10,0.9416,0.8959,256
STP10,0.9497,0.8826,256
STP10,0.9085,0.9263,256
STP10,0.9372,0.9001,256
STP10,0.9401,0.8983,256
STP10,0.9395,0.8983,256
STP10,0.9365,0.9013,256
STP10,0.9407,0.8932,256
STP10,0.9357,0.9008,256
STP10,0.9333,0.9047,256
STP10,0.9554,0.8741,256
STP10,0.9466,0.8892,256
STP10,0.9236,0.9133,256
STP10,0.8877,0.9384,256
STP10,0.8921,0.937,256
STP10,0.9451,0.8917,256
STP10,0.9244,0.9121,256
STP10,0.9311,0.9028,256
STP10,0.9408,0.8936,256
STP10,0.9558,0.8784,256
STP10,0.9272,0.9089,256
STP10,0.8844,0.9402,256
STP10,0.8974,0.9338,256
STP10,0.9294,0.907,256
STP10,0.9052,0.9268,256
STP10,0.9128,0.9215,256
STP10,0.9413,0.895,256
STP10,0.8844,0.9392,256
STP10,0.9464,0.8874,256
STP10,0.9177,0.92,256
STP10,0.8933,0.9352,256
STP10,0.8981,0.9317,256
STP10,0.8849,0.9395,256
STP10,0.9389,0.8958,256
STP10,0.9448,0.8914,256
STP10,0.8921,0.9353,256
STP10,0.8882,0.9395,256
ZnT8,0.9326,0.754,256
ZnT8,0.8375,0.8502,256
ZnT8,0.8245,0.8475,256
ZnT8,0.8337,0.8554,256
ZnT8,0.8635,0.8362,256
ZnT8,0.8505,0.8524,256
ZnT8,0.8181,0.8662,256
ZnT8,0.8319,0.8525,256
ZnT8,0.8199,0.8753,256
ZnT8,0.8247,0.8587,256
ZnT8,0.8086,0.862,256
ZnT8,0.8294,0.855,256
ZnT8,0.8265,0.8593,256
ZnT8,0.8226,0.8585,256
ZnT8,0.8231,0.8485,256
ZnT8,0.8353,0.8529,256
ZnT8,0.8291,0.8561,256
ZnT8,0.8369,0.8484,256
ZnT8,0.8529,0.8429,256
ZnT8,0.8522,0.8442,256
ZnT8,0.8132,0.85,256
ZnT8,0.8016,0.8468,256
ZnT8,0.853,0.848,256
ZnT8,0.8197,0.866,256
ZnT8,0.818,0.8555,256
ZnT8,0.8356,0.8626,256
ZnT8,0.8426,0.8607,256
ZnT8,0.8027,0.854,256
ZnT8,0.8976,0.809,256
ZnT8,0.8262,0.8609,256
ZnT8,0.8187,0.862,256
ZnT8,0.82,0.8546,256
ZnT8,0.8443,0.851,256
ZnT8,0.8164,0.8531,256
ZnT8,0.8222,0.8632,256
ZnT8,0.8003,0.8421,256
ZnT8,0.8212,0.8568,256
ZnT8,0.8697,0.8339,256
ZnT8,0.8558,0.8431,256
ZnT8,0.9255,0.7819,256
ZnT8,0.8211,0.8487,256
ZnT8,0.8431,0.8459,256
ZnT8,0.9348,0.7358,256
ZnT8,0.8855,0.8165,256
ZnT8,0.8764,0.8338,256
ZnT8,0.8882,0.8198,256
ZnT8,0.8725,0.8291,256
ZnT8,0.9272,0.7456,256
ZnT8,0.8741,0.8315,256
ZnT8,0.8208,0.844,256
Lat1,0.9458,0.9101,256
Lat1,0.9002,0.9589,256
Lat1,0.9315,0.9343,256
Lat1,0.9533,0.8859,256
Lat1,0.9576,0.8797,256
Lat1,0.9425,0.9142,256
Lat1,0.8882,0.9654,256
Lat1,0.9466,0.9045,256
Lat1,0.9557,0.8796,256
Lat1,0.9354,0.9273,256
Lat1,0.9408,0.9019,256
Lat1,0.9529,0.8867,256
Lat1,0.9539,0.8832,256
Lat1,0.9345,0.9174,256
Lat1,0.9432,0.9016,256
Lat1,0.9555,0.8813,256
Lat1,0.9295,0.933,256
Lat1,0.915,0.939,256
Lat1,0.9487,0.8865,256
Lat1,0.9357,0.9183,256
Lat1,0.9088,0.9501,256
Lat1,0.8927,0.9651,256
Lat1,0.9236,0.9459,256
Lat1,0.9367,0.9152,256
Lat1,0.924,0.9271,256
Lat1,0.9444,0.9017,256
Lat1,0.9458,0.9031,256
Lat1,0.8937,0.965,256
Lat1,0.9084,0.9557,256
Lat1,0.9117,0.9429,256
Lat1,0.9062,0.9503,256
Lat1,0.9192,0.9371,256
Lat1,0.9239,0.9323,256
Lat1,0.8882,0.9691,256
Lat1,0.8966,0.9632,256
Lat1,0.9346,0.921,256
Lat1,0.918,0.9428,256
Lat1,0.9262,0.9326,256
Lat1,0.8975,0.955,256
Lat1,0.8857,0.9688,256
Lat1,0.8932,0.9643,256
Lat1,0.8666,0.9772,256
Lat1,0.9232,0.9294,256
Lat1,0.9177,0.9376,256
Lat1,0.9393,0.9129,256
Lat1,0.9478,0.8904,256
Lat1,0.917,0.9474,256
Lat1,0.9516,0.8935,256
Lat1,0.9559,0.8815,256
Lat1,0.9551,0.8807,256
MCT1 (with templates),0.9767,0.8067,256
MCT1 (with templates),0.9754,0.805,256
MCT1 (with templates),0.9733,0.7983,256
MCT1 (with templates),0.9735,0.799,256
MCT1 (with templates),0.9723,0.8098,256
MCT1 (with templates),0.9753,0.8103,256
MCT1 (with templates),0.9715,0.8061,256
MCT1 (with templates),0.9746,0.7921,256
MCT1 (with templates),0.9749,0.8048,256
MCT1 (with templates),0.9747,0.8023,256
MCT1 (with templates),0.9759,0.7967,256
MCT1 (with templates),0.9782,0.7982,256
MCT1 (with templates),0.9721,0.8096,256
MCT1 (with templates),0.9703,0.7928,256
MCT1 (with templates),0.9691,0.7893,256
MCT1 (with templates),0.9764,0.7991,256
MCT1 (with templates),0.9767,0.8,256
MCT1 (with templates),0.9755,0.811,256
MCT1 (with templates),0.9755,0.7892,256
MCT1 (with templates),0.9774,0.794,256
MCT1 (with templates),0.9751,0.7983,256
MCT1 (with templates),0.9753,0.7958,256
MCT1 (with templates),0.974,0.7966,256
MCT1 (with templates),0.9746,0.7954,256
MCT1 (with templates),0.977,0.8033,256
MCT1 (with templates),0.9777,0.7983,256
MCT1 (with templates),0.9756,0.8045,256
MCT1 (with templates),0.9772,0.8018,256
MCT1 (with templates),0.9763,0.7913,256
MCT1 (with templates),0.9764,0.7973,256
MCT1 (with templates),0.9742,0.7923,256
MCT1 (with templates),0.9737,0.8038,256
MCT1 (with templates),0.9751,0.807,256
MCT1 (with templates),0.9769,0.7979,256
MCT1 (with templates),0.9751,0.8065,256
MCT1 (with templates),0.9766,0.8053,256
MCT1 (with templates),0.9771,0.799,256
MCT1 (with templates),0.9771,0.798,256
MCT1 (with templates),0.9763,0.806,256
MCT1 (with templates),0.9761,0.7903,256
MCT1 (with templates),0.9764,0.7963,256
MCT1 (with templates),0.9742,0.7906,256
MCT1 (with templates),0.977,0.7965,256
MCT1 (with templates),0.9742,0.8036,256
MCT1 (with templates),0.9729,0.8058,256
MCT1 (with templates),0.9775,0.7993,256
MCT1 (with templates),0.9769,0.7991,256
MCT1 (with templates),0.9754,0.8128,256
MCT1 (with templates),0.9732,0.8072,256
MCT1 (with templates),0.9756,0.7935,256
ASCT2,0.6161,0.9543,512
ASCT2,0.899,0.6863,512
ASCT2,0.8978,0.6891,512
ASCT2,0.6158,0.9426,512
ASCT2,0.838,0.716,512
ASCT2,0.615,0.9519,512
ASCT2,0.836,0.7218,512
ASCT2,0.8199,0.7293,512
ASCT2,0.6194,0.953,512
ASCT2,0.8997,0.6797,512
ASCT2,0.6116,0.9491,512
ASCT2,0.8543,0.7016,512
ASCT2,0.6228,0.954,512
ASCT2,0.6686,0.9034,512
ASCT2,0.8922,0.6955,512
ASCT2,0.8714,0.7013,512
ASCT2,0.6196,0.9505,512
ASCT2,0.9282,0.6868,512
ASCT2,0.8824,0.7018,512
ASCT2,0.6198,0.9522,512
ASCT2,0.8947,0.689,512
ASCT2,0.6194,0.9431,512
ASCT2,0.6132,0.9448,512
ASCT2,0.8975,0.6884,512
ASCT2,0.7527,0.8021,512
ASCT2,0.8332,0.7191,512
ASCT2,0.8318,0.7168,512
ASCT2,0.619,0.9467,512
ASCT2,0.9178,0.6723,512
ASCT2,0.6096,0.9487,512
ASCT2,0.9041,0.6909,512
ASCT2,0.7379,0.8075,512
ASCT2,0.6134,0.9532,512
ASCT2,0.8809,0.6993,512
ASCT2,0.6203,0.9499,512
ASCT2,0.6191,0.9523,512
ASCT2,0.6131,0.9555,512
ASCT2,0.9097,0.6755,512
ASCT2,0.6195,0.9492,512
ASCT2,0.8919,0.6891,512
ASCT2,0.9104,0.685,512
ASCT2,0.8906,0.6923,512
ASCT2,0.8279,0.7269,512
ASCT2,0.6128,0.9418,512
ASCT2,0.8739,0.699,512
ASCT2,0.6209,0.9496,512
ASCT2,0.6195,0.953,512
ASCT2,0.9169,0.6756,512
ASCT2,0.613,0.9536,512
ASCT2,0.6195,0.9565,512
MCT1 (without templates),0.9744,0.7915,512
MCT1 (without templates),0.9742,0.7927,512
MCT1 (without templates),0.979,0.8028,512
MCT1 (without templates),0.9768,0.7916,512
MCT1 (without templates),0.9775,0.7973,512
MCT1 (without templates),0.9755,0.8078,512
MCT1 (without templates),0.9775,0.7991,512
MCT1 (without templates),0.9753,0.794,512
MCT1 (without templates),0.9759,0.8015,512
MCT1 (without templates),0.9773,0.8027,512
MCT1 (without templates),0.9771,0.7936,512
MCT1 (without templates),0.9773,0.7957,512
MCT1 (without templates),0.9747,0.8005,512
MCT1 (without templates),0.9734,0.8014,512
MCT1 (without templates),0.9755,0.7948,512
MCT1 (without templates),0.9763,0.8022,512
MCT1 (without templates),0.9769,0.8027,512
MCT1 (without templates),0.9755,0.8,512
MCT1 (without templates),0.9762,0.7983,512
MCT1 (without templates),0.9776,0.8076,512
MCT1 (without templates),0.9752,0.8035,512
MCT1 (without templates),0.9744,0.8104,512
MCT1 (without templates),0.9761,0.7991,512
MCT1 (without templates),0.9749,0.8042,512
MCT1 (without templates),0.9758,0.8058,512
MCT1 (without templates),0.9752,0.8051,512
MCT1 (without templates),0.9752,0.7993,512
MCT1 (without templates),0.9731,0.8013,512
MCT1 (without templates),0.9736,0.799,512
MCT1 (without templates),0.9743,0.8033,512
MCT1 (without templates),0.9736,0.8051,512
MCT1 (without templates),0.9751,0.8049,512
MCT1 (without templates),0.9738,0.8025,512
MCT1 (without templates),0.9729,0.8036,512
MCT1 (without templates),0.9762,0.7945,512
MCT1 (without templates),0.9778,0.8021,512
MCT1 (without templates),0.9749,0.8009,512
MCT1 (without templates),0.9762,0.8033,512
MCT1 (without templates),0.9751,0.8064,512
MCT1 (without templates),0.9741,0.7999,512
MCT1 (without templates),0.976,0.7988,512
MCT1 (without templates),0.9737,0.7934,512
MCT1 (without templates),0.9749,0.8028,512
MCT1 (without templates),0.9764,0.8035,512
MCT1 (without templates),0.9659,0.8009,512
MCT1 (without templates),0.9751,0.8055,512
MCT1 (without templates),0.975,0.809,512
MCT1 (without templates),0.9753,0.8035,512
MCT1 (without templates),0.9756,0.8021,512
MCT1 (without templates),0.9751,0.7989,512
STP10,0.9565,0.8811,512
STP10,0.9457,0.895,512
STP10,0.9513,0.8888,512
STP10,0.9048,0.9294,512
STP10,0.8953,0.9343,512
STP10,0.9479,0.8927,512
STP10,0.9464,0.8942,512
STP10,0.951,0.8868,512
STP10,0.9586,0.8799,512
STP10,0.9433,0.8966,512
STP10,0.958,0.8814,512
STP10,0.9512,0.8867,512
STP10,0.959,0.8775,512
STP10,0.9528,0.8859,512
STP10,0.9583,0.8798,512
STP10,0.9545,0.8825,512
STP10,0.9154,0.9225,512
STP10,0.8986,0.9355,512
STP10,0.9362,0.9049,512
STP10,0.9546,0.8853,512
STP10,0.9352,0.9054,512
STP10,0.9473,0.894,512
STP10,0.9508,0.8885,512
STP10,0.9477,0.891,512
STP10,0.9514,0.8883,512
STP10,0.9444,0.8983,512
STP10,0.948,0.8927,512
STP10,0.9494,0.8876,512
STP10,0.9012,0.9333,512
STP10,0.9095,0.9266,512
STP10,0.898,0.934,512
STP10,0.9539,0.8846,512
STP10,0.9563,0.882,512
STP10,0.9022,0.9321,512
STP10,0.9231,0.9185,512
STP10,0.9106,0.9264,512
STP10,0.9169,0.9196,512
STP10,0.9606,0.8785,512
STP10,0.9127,0.9251,512
STP10,0.8991,0.9339,512
STP10,0.8984,0.9331,512
STP10,0.8987,0.9342,512
STP10,0.9169,0.9196,512
STP10,0.9187,0.9207,512
STP10,0.9062,0.9303,512
STP10,0.8904,0.94,512
STP10,0.9693,0.8643,512
STP10,0.9168,0.9219,512
STP10,0.895,0.9362,512
STP10,0.955,0.8852,512
ZnT8,0.8413,0.8569,512
ZnT8,0.7982,0.851,512
ZnT8,0.8241,0.8538,512
ZnT8,0.8584,0.8373,512
ZnT8,0.8377,0.8541,512
ZnT8,0.848,0.847,512
ZnT8,0.8381,0.8503,512
ZnT8,0.8279,0.8567,512
ZnT8,0.8259,0.8612,512
ZnT8,0.822,0.8595,512
ZnT8,0.8288,0.8568,512
ZnT8,0.8432,0.8526,512
ZnT8,0.8391,0.8533,512
ZnT8,0.8473,0.8464,512
ZnT8,0.8306,0.8565,512
ZnT8,0.8436,0.8498,512
ZnT8,0.8438,0.8485,512
ZnT8,0.827,0.8566,512
ZnT8,0.8306,0.8613,512
ZnT8,0.839,0.8532,512
ZnT8,0.8212,0.8538,512
ZnT8,0.8136,0.8548,512
ZnT8,0.8137,0.855,512
ZnT8,0.797,0.8508,512
ZnT8,0.8181,0.8596,512
ZnT8,0.8211,0.8566,512
ZnT8,0.7959,0.8415,512
ZnT8,0.8252,0.8602,512
ZnT8,0.8339,0.8569,512
ZnT8,0.8106,0.8516,512
ZnT8,0.8408,0.8566,512
ZnT8,0.8176,0.8626,512
ZnT8,0.8353,0.8553,512
ZnT8,0.8568,0.8394,512
ZnT8,0.8189,0.8593,512
ZnT8,0.8848,0.8256,512
ZnT8,0.9274,0.7644,512
ZnT8,0.8133,0.8598,512
ZnT8,0.8407,0.8507,512
ZnT8,0.8287,0.8551,512
ZnT8,0.7937,0.8457,512
ZnT8,0.8262,0.8567,512
ZnT8,0.7974,0.852,512
ZnT8,0.8489,0.8551,512
ZnT8,0.8286,0.8571,512
ZnT8,0.8152,0.8535,512
ZnT8,0.792,0.8493,512
ZnT8,0.8578,0.8471,512
ZnT8,0.8251,0.8529,512
ZnT8,0.779,0.8424,512
Lat1,0.8819,0.9705,512
Lat1,0.9402,0.918,512
Lat1,0.9464,0.9003,512
Lat1,0.9475,0.9024,512
Lat1,0.9445,0.8954,512
Lat1,0.9417,0.9115,512
Lat1,0.9488,0.9055,512
Lat1,0.9611,0.8718,512
Lat1,0.9572,0.8767,512
Lat1,0.9383,0.9245,512
Lat1,0.9549,0.8866,512
Lat1,0.9579,0.8765,512
Lat1,0.9577,0.8768,512
Lat1,0.9528,0.8889,512
Lat1,0.9507,0.901,512
Lat1,0.9504,0.9042,512
Lat1,0.9578,0.8791,512
Lat1,0.957,0.879,512
Lat1,0.9549,0.8903,512
Lat1,0.9592,0.8733,512
Lat1,0.9541,0.8854,512
Lat1,0.9574,0.8791,512
Lat1,0.9537,0.8943,512
Lat1,0.9595,0.8718,512
Lat1,0.9568,0.8834,512
Lat1,0.9561,0.8826,512
Lat1,0.9035,0.9521,512
Lat1,0.9441,0.9019,512
Lat1,0.9543,0.8843,512
Lat1,0.9506,0.897,512
Lat1,0.9349,0.9198,512
Lat1,0.9442,0.8998,512
Lat1,0.914,0.9578,512
Lat1,0.9467,0.9007,512
Lat1,0.9527,0.8893,512
Lat1,0.9558,0.885,512
Lat1,0.9483,0.8894,512
Lat1,0.8933,0.9628,512
Lat1,0.9259,0.9413,512
Lat1,0.9493,0.8954,512
Lat1,0.95,0.8967,512
Lat1,0.9532,0.8867,512
Lat1,0.9436,0.9037,512
Lat1,0.9435,0.9054,512
Lat1,0.9519,0.8951,512
Lat1,0.9173,0.9421,512
Lat1,0.9569,0.8761,512
Lat1,0.9488,0.899,512
Lat1,0.9283,0.9312,512
Lat1,0.929,0.9394,512
MCT1 (with templates),0.9738,0.8087,512
MCT1 (with templates),0.9737,0.8042,512
MCT1 (with templates),0.9757,0.8071,512
MCT1 (with templates),0.9776,0.803,512
MCT1 (with templates),0.977,0.802,512
MCT1 (with templates),0.9757,0.7953,512
MCT1 (with templates),0.9749,0.7974,512
MCT1 (with templates),0.9764,0.7902,512
MCT1 (with templates),0.9728,0.8052,512
MCT1 (with templates),0.977,0.7965,512
MCT1 (with templates),0.9769,0.8011,512
MCT1 (with templates),0.9756,0.7941,512
MCT1 (with templates),0.9733,0.8074,512
MCT1 (with templates),0.9747,0.8054,512
MCT1 (with templates),0.9763,0.7968,512
MCT1 (with templates),0.977,0.8014,512
MCT1 (with templates),0.9747,0.7936,512
MCT1 (with templates),0.9744,0.7943,512
MCT1 (with templates),0.9752,0.7897,512
MCT1 (with templates),0.9778,0.7992,512
MCT1 (with templates),0.9754,0.7919,512
MCT1 (with templates),0.9768,0.7949,512
MCT1 (with templates),0.9741,0.8114,512
MCT1 (with templates),0.9764,0.8069,512
MCT1 (with templates),0.9749,0.8092,512
MCT1 (with templates),0.9771,0.8022,512
MCT1 (with templates),0.9754,0.7961,512
MCT1 (with templates),0.9761,0.7983,512
MCT1 (with templates),0.9775,0.7964,512
MCT1 (with templates),0.9753,0.8048,512
MCT1 (with templates),0.9769,0.7934,512
MCT1 (with templates),0.9761,0.7944,512
MCT1 (with templates),0.976,0.803,512
MCT1 (with templates),0.9753,0.794,512
MCT1 (with templates),0.974,0.811,512
MCT1 (with templates),0.9695,0.8045,512
MCT1 (with templates),0.978,0.801,512
MCT1 (with templates),0.9753,0.8041,512
MCT1 (with templates),0.9772,0.7948,512
MCT1 (with templates),0.977,0.8006,512
MCT1 (with templates),0.975,0.7998,512
MCT1 (with templates),0.9734,0.8024,512
MCT1 (with templates),0.978,0.7979,512
MCT1 (with templates),0.9764,0.7953,512
MCT1 (with templates),0.9747,0.7901,512
MCT1 (with templates),0.9768,0.7948,512
MCT1 (with templates),0.9734,0.7894,512
MCT1 (with templates),0.9741,0.8116,512
MCT1 (with templates),0.9753,0.7918,512
